J001	Kasus kontroversial pada era Buwas adalah penyidikan Mantan Wakil Menteri Hukum Denny Indrayana.	Kasus kontrovErsial pada Era Buwas adalah penyidikan Mantan Wakil Menteri Hukum DEnni Indrayana.
J002	Kantor Charlie Hebdo di Paris diserang Al-Qaeda.	Kantor Charli HEbdo di Paris diserang Al-QaE-da.
J003	Assalamu'alaikum Warrahmatullahi Wabarakatuh.	As-sa-la-mu-a-lai-kum Wa-roh-ma-tul-lo-hi Wa-ba-ra-ka-tuh.
J004	Salam sejahtera bagi kita.	Salam sejahtera bagi kita.
J005	Pimpinan dan Anggota Dewan Perwakilan Rakyat Republik Indonesia yang terhormat.	Pimpinan dan Anggota DEwan Perwakilan Rakyat REpublik IndonEsia yang terhormat.
J006	Hadirin dan Sidang yang kami muliakan.	Hadirin dan Sidang yang kami muliakan.
J007	Puji syukur kita panjatkan kehadirat Tuhan Yang Maha Kuasa. 	Puji syukur kita panjatkan kehadirat Tuhan Yang Maha Kuasa. 
J008	Karena atas rahmat dan karunia-Nya kita masih diberi kesempatan dan kekuatan untuk melanjutkan karya dan pengabdian kita kepada bangsa dan negara tercinta. 	Karena atas rahmat dan karunia-Nya kita masih diberi kesempatan dan kekuatan untuk melanjutkan karya dan pengabdian kita kepada bangsa dan negara tercinta. 
J009	Pada hari yang berbahagia ini, kita dapat hadir dalam Rapat Paripurna DPR RI.	Pada hari yang berbahagia ini, kita dapat hadir dalam Rapat Paripurna DE-PE-ER ER-I.
J010	Sebagaimana diketahui bersama, bahwa Rancangan Undang-undang tersebut telah diselesaikan pembahasannya. 	Sebagaimana diketahui bersama, bahwa Rancangan Undang-undang tersebut telah diselesaikan pembahasannya. 
J012	Hadirin dan Sidang yang kami muliakan.	Hadirin dan Sidang yang kami muliakan.
J013	Dengan demikian kuorum telah tercapai. 	Dengan demikian kuorum telah tercapai. 
J014	Dengan mengucap Bismillahirahmanirrahim , perkenankanlah kami selaku Pimpinan Dewan membuka Rapat Paripurna DPR RI. 	Dengan mengucap Bismillahirohmanirrohim, perkenankanlah kami selaku Pimpinan DEwan membuka Rapat Paripurna DE-PE-ER ER-I. 
J015	Masa Sidang Pertama tahun sidang dua ribu lima belas dua ribu enam belas.	Masa Sidang Pertama tahun sidang dua ribu lima belas dua ribu enam belas.
J016	Sidang kami nyatakan terbuka untuk umum.	Sidang kami nyatakan terbuka untuk umum.
J017	Hadirin yang kami hormati.	Hadirin yang kami hormati.
J019	Hadirin kami persilakan duduk kembali. 	Hadirin kami persilakan duduk kembali. 
J020	Sidang Dewan yang kami hormati.	Sidang DEwan yang kami hormati.
J021	Hasil Pembahasan Fit and Proper test calon Anggota Komisi Yudisial. 	Hasil Pembahasan Fit End Proper tEst calon Anggota Komisi Yudisial. 
J022	Pendapat Fraksi-fraksi dan pengambilan keputusan terhadap dua RUU. 	Pendapat Fraksi-fraksi dan pengambilan keputusan terhadap dua ER-U-U. 
J023	Sekarang kami ingin menanyakan kepada sidang Dewan yang terhormat, apakah acara tersebut dapat disetujui?	Sekarang kami ingin menanyakan kepada sidang DEwan yang terhormat, apakah acara tersebut dapat disetujui?
J024	Belum-belum!	Belum-belum!
J025	Baik silakan yang interupsi.	baik silakan yang interupsi.
J026	Interupsi Pimpinan. 	Interupsi Pimpinan. 
J027	Terima kasih Pimpinan.	Terima kasih Pimpinan.
J028	Baik, tentunya Pak Misbakhun, dapat kami jawab yang acara pertama. 	Baik, tentunya Pak Misbakhun, dapat kami jawab yang acara pertama. 
J029	Itu memang ada didalam surat yang ditujukan kepada Pimpinan Dewan.	Itu mEmang ada didalam surat yang ditujukan kepada Pimpinan DEwan.
J030	Nanti akan saya bacakan. 	Nanti akan saya bacakan. 
J031	Untuk itu kami sampaikan kepada paripurna, apakah draf ini bisa disetujui atau tidak?	Untuk itu kami sampaikan kepada paripurna, apakah draf ini bisa disetujui atau tidak?
J032	Pimpinan yang saya hormati.	Pimpinan yang saya hormati.
J034	Sebentar Pak Misbakun, bagaimana kalau acara yang pertama ini kita setujui dulu?	Sebentar Pak Misbakun, bagaimana kalau acara yang pertama ini kita setujui dulu?
J035	Tentunya waktu jauh lebih efisien. 	Tentunya waktu jauh lebih EfisiEn. 
J036	Nanti masalah debat dan lain sebagainya mari kita selesaikan.	Nanti masalah debat dan lain sebagainya mari kita selesaikan.
J037	Baik, bapak Ibu sekalian yang saya hormati,	Baik, bapak Ibu sekalian yang saya hormati,
J038	Sebelum memulai acara pertama perlu kami beritahukan bahwa Pimpinan Dewan, telah menerima keputusan Presiden Republik Indonesia. 	Sebelum memulai acara pertama perlu kami beritahukan bahwa Pimpinan DEwan, telah menerima keputusan prEsidEn REpublik IndonEsia. 
J042	Petikan keputusan Presiden ini disampaikan kepada yang bersangkutan untuk dipergunakan sebagaimana mestinya.	Petikan keputusan prEsidEn ini disampaikan kepada yang bersangkutan untuk dipergunakan sebagaimana mestinya.
J043	Ditetapkan di Jakarta, pada tanggal tiga puluh satu Agustus dua ribu lima belas.	Ditetapkan di Jakarta, pada tanggal tiga puluh satu Agustus dua ribu lima belas.
J044	Rohaniwan dipersilakan menempati tempat yang telah ditentukan.	Rohaniwan dipersilakan menempati tempat yang telah ditentukan.
J046	Saudara wajib bersumpah menurut agama Islam. 	Saudara wajib bersumpah menurut agama Islam. 
J047	Apakah saudara bersedia? 	Apakah saudara bersedia? 
J048	Patut saya ingatkan bahwa sumpah yang akan saudara ucapkan mengandung tanggung jawab terhadap bangsa dan negara Republik Indonesia.	Patut saya ingatkan bahwa sumpah yang akan saudara ucapkan mengandung tanggung jawab terhadap bangsa dan negara REpublik IndonEsia.
J049	Tanggung jawab memelihara dan menyelamatkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia. 	Tanggung jawab memelihara dan menyelamatkan Pancasila dan Undang-Undang Dasar Negara REpublik IndonEsia. 
J051	Janji kepada manusia yang harus ditepati, dengan segala keikhlasan, dan kejujuran. 	Janji kepada manusia yang harus ditepati, dengan segala keikhlasan, dan kejujuran. 
J052	Saya harap saudara mengikuti dan menirukan kata-kata saya dengan hikmat.	Saya harap saudara mengikuti dan menirukan kata-kata saya dengan hikmat.
J054	Sidang Dewan yang kami hormati.	Sidang DEwan yang kami hormati.
J055	Marilah kita memasuki acara pertama Rapat Paripurna Dewan hari ini.	Marilah kita memasuki acara pertama Rapat Paripurna DEwan hari ini.
J056	Selanjutnya Rapat Konsultasi Pengganti Badan Musyawarah DPR RI.	Selanjutnya Rapat Konsultasi Pengganti Badan Musyawarah DE-PE-ER ER-I.
J057	Pembahasan Pembicaraan Tingkat satu tersebut berlangsung secara kritis.	Pembahasan Pembicaraan Tingkat satu tersebut berlangsung secara keritis.
J058	Wallahuma Fiq Ilia Aquamitoriq.	Wallahuma Fik illa Aq-wa-mi-toriq.
J059	Wassalamu'alaikum Warrahmatullahi Wabarakatuh, terima kasih semuanya.	Was-sa-la-mu-a-lai-kum Wa-roh-ma-tull-lo-hi Wa-ba-ro-ka-tuh, terima kasih semuanya.
J060	Terima kasih kami sampaikan kepada Saudara Hanafi Rais.	Terima kasih kami sampaikan kepada Saudara Hanafi Rais.
J061	Berikutnya , kami persilakan saudara Menteri Hukum dan HAM RI untuk menyampaikan pendapat akhir mewakili Presiden.	Berikutnya , kami persilakan saudara Menteri Hukum dan HAM ER-I untuk menyampaikan pendapat akhir mewakili prEsidEn.
J062	Kami persilakan. 	Kami persilakan. 
J065	Siapa yang mengubah jadwal Bamus yang tadinya perubahan Tata Tertib DPR RI? 	Siapa yang mengubah jadwal Bamus yang tadinya perubahan Tata Tertib DE-PE-ER ER-I? 
J066	Interupsi Ketua, Yandri Ketua.	Interupsi Ketua, Yandri Ketua.
J067	Saya menyambung dari Saudaraku Misbakhun, kalau memang sudah disetujui ya sudah. 	Saya menyambung dari Saudaraku Misbakhun, kalau mEmang sudah disetujui ya sudah. 
J068	Tetapi mungkin jalan tengah saya usul Ketua. 	Tetapi mungkin jalan tengah saya usul Ketua. 
